"filename", "language", "C++", "Ini", "JSON with Comments", "comment", "blank", "total"
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\general\general.cpp", "C++", 66, 0, 0, 11, 19, 96
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\general\general.h", "C++", 65, 0, 0, 4, 24, 93
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\myOLED\myOLED.cpp", "C++", 84, 0, 0, 25, 27, 136
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\myOLED\myOLED.h", "C++", 18, 0, 0, 2, 5, 25
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\mySD\mySD.cpp", "C++", 51, 0, 0, 4, 6, 61
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\mySD\mySD.h", "C++", 13, 0, 0, 1, 9, 23
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\tasks\tasks.cpp", "C++", 246, 0, 0, 57, 69, 372
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\tasks\tasks.h", "C++", 15, 0, 0, 5, 8, 28
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\wav\wav.cpp", "C++", 60, 0, 0, 2, 4, 66
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\lib\wav\wav.h", "C++", 23, 0, 0, 2, 11, 36
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\platformio.ini", "Ini", 0, 12, 0, 9, 2, 23
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\src\main.cpp", "C++", 66, 0, 0, 30, 24, 120
"c:\Users\j.tschavoll\OneDrive - FH Vorarlberg\Partnerunternehmen FHV\Projekte\Fieldrecorder\Code\PlatformIO\native\Dev-Board\FR0 stable alpha (no DAC)\workspace.code-workspace", "JSON with Comments", 0, 0, 17, 0, 0, 17
"Total", "-", 707, 12, 17, 152, 208, 1096
